#;Pokémon;;HP;Attack;Defense;Sp. Attack;Sp. Defense;Speed;Total
82;;Magneton;50;60;95;120;70;70;465
83;;Farfetch'd;52;90;55;58;62;60;377
83;;"Farfetch'd
Galarian Farfetch'd";52;95;55;58;62;55;377
84;;Doduo;35;85;45;35;35;75;310
85;;Dodrio;60;110;70;60;60;110;470
86;;Seel;65;45;55;45;70;45;325
87;;Dewgong;90;70;80;70;95;70;475
88;;Grimer;80;80;50;40;50;25;325
88;;"Grimer
Alolan Grimer";80;80;50;40;50;25;325
89;;Muk;105;105;75;65;100;50;500
89;;"Muk
Alolan Muk";105;105;75;65;100;50;500
90;;Shellder;30;65;100;45;25;40;305
91;;Cloyster;50;95;180;85;45;70;525
92;;Gastly;30;35;30;100;35;80;310
93;;Haunter;45;50;45;115;55;95;405
94;;Gengar;60;65;60;130;75;110;500
94;;"Gengar
Mega Gengar";60;65;80;170;95;130;600
95;;Onix;35;45;160;30;45;70;385
96;;Drowzee;60;48;45;43;90;42;328
97;;Hypno;85;73;70;73;115;67;483
98;;Krabby;30;105;90;25;25;50;325
99;;Kingler;55;130;115;50;50;75;475
100;;Voltorb;40;30;50;55;55;100;330
100;;"Voltorb
Hisuian Voltorb";40;30;50;55;55;100;330
101;;Electrode;60;50;70;80;80;150;490
101;;"Electrode
Hisuian Electrode";60;50;70;80;80;150;490
102;;Exeggcute;60;40;80;60;45;40;325
103;;Exeggutor;95;95;85;125;75;55;530
103;;"Exeggutor
Alolan Exeggutor";95;105;85;125;75;45;530
104;;Cubone;50;50;95;40;50;35;320
105;;Marowak;60;80;110;50;80;45;425
105;;"Marowak
Alolan Marowak";60;80;110;50;80;45;425
106;;Hitmonlee;50;120;53;35;110;87;455
107;;Hitmonchan;50;105;79;35;110;76;455
108;;Lickitung;90;55;75;60;75;30;385
109;;Koffing;40;65;95;60;45;35;340
110;;Weezing;65;90;120;85;70;60;490
110;;"Weezing
Galarian Weezing";65;90;120;85;70;60;490
111;;Rhyhorn;80;85;95;30;30;25;345
112;;Rhydon;105;130;120;45;45;40;485
113;;Chansey;250;5;5;35;105;50;450
114;;Tangela;65;55;115;100;40;60;435
115;;Kangaskhan;105;95;80;40;80;90;490
115;;"Kangaskhan
Mega Kangaskhan";105;125;100;60;100;100;590
116;;Horsea;30;40;70;70;25;60;295
117;;Seadra;55;65;95;95;45;85;440
118;;Goldeen;45;67;60;35;50;63;320
119;;Seaking;80;92;65;65;80;68;450
120;;Staryu;30;45;55;70;55;85;340
121;;Starmie;60;75;85;100;85;115;520
122;;Mr. Mime;40;45;65;100;120;90;460
122;;"Mr. Mime
Galarian Mr. Mime";50;65;65;90;90;100;460
123;;Scyther;70;110;80;55;80;105;500
124;;Jynx;65;50;35;115;95;95;455
125;;Electabuzz;65;83;57;95;85;105;490
126;;Magmar;65;95;57;100;85;93;495
127;;Pinsir;65;125;100;55;70;85;500
127;;"Pinsir
Mega Pinsir";65;155;120;65;90;105;600
128;;Tauros;75;100;95;40;70;110;490
128;;"Tauros
Paldean Tauros (Combat Breed)";75;110;105;30;70;100;490
128;;"Tauros
Paldean Tauros (Blaze Breed)";75;110;105;30;70;100;490
128;;"Tauros
Paldean Tauros (Aqua Breed)";75;110;105;30;70;100;490
129;;Magikarp;20;10;55;15;20;80;200
130;;Gyarados;95;125;79;60;100;81;540
130;;"Gyarados
Mega Gyarados";95;155;109;70;130;81;640
131;;Lapras;130;85;80;85;95;60;535
132;;Ditto;48;48;48;48;48;48;288
133;;Eevee;55;55;50;45;65;55;325
133;;"Eevee
Partner Eevee";65;75;70;65;85;75;435
134;;Vaporeon;130;65;60;110;95;65;525
135;;Jolteon;65;65;60;110;95;130;525
136;;Flareon;65;130;60;95;110;65;525
137;;Porygon;65;60;70;85;75;40;395
138;;Omanyte;35;40;100;90;55;35;355
139;;Omastar;70;60;125;115;70;55;495
140;;Kabuto;30;80;90;55;45;55;355
141;;Kabutops;60;115;105;65;70;80;495
142;;Aerodactyl;80;105;65;60;75;130;515
142;;"Aerodactyl
Mega Aerodactyl";80;135;85;70;95;150;615
143;;Snorlax;160;110;65;65;110;30;540
144;;Articuno;90;85;100;95;125;85;580
144;;"Articuno
Galarian Articuno";90;85;85;125;100;95;580
145;;Zapdos;90;90;85;125;90;100;580
145;;"Zapdos
Galarian Zapdos";90;125;90;85;90;100;580
146;;Moltres;90;100;90;125;85;90;580
146;;"Moltres
Galarian Moltres";90;85;90;100;125;90;580
147;;Dratini;41;64;45;50;50;50;300
148;;Dragonair;61;84;65;70;70;70;420
149;;Dragonite;91;134;95;100;100;80;600
150;;Mewtwo;106;110;90;154;90;130;680
150;;"Mewtwo
Mega Mewtwo X";106;190;100;154;100;130;780
150;;"Mewtwo
Mega Mewtwo Y";106;150;70;194;120;140;780
151;;Mew;100;100;100;100;100;100;600
152;;Chikorita;45;49;65;49;65;45;318
153;;Bayleef;60;62;80;63;80;60;405
154;;Meganium;80;82;100;83;100;80;525
155;;Cyndaquil;39;52;43;60;50;65;309
156;;Quilava;58;64;58;80;65;80;405
157;;Typhlosion;78;84;78;109;85;100;534
157;;"Typhlosion
Hisuian Typhlosion";73;84;78;119;85;95;534
158;;Totodile;50;65;64;44;48;43;314
159;;Croconaw;65;80;80;59;63;58;405
160;;Feraligatr;85;105;100;79;83;78;530
161;;Sentret;35;46;34;35;45;20;215
162;;Furret;85;76;64;45;55;90;415
163;;Hoothoot;60;30;30;36;56;50;262
164;;Noctowl;100;50;50;86;96;70;452
165;;Ledyba;40;20;30;40;80;55;265
166;;Ledian;55;35;50;55;110;85;390
167;;Spinarak;40;60;40;40;40;30;250
168;;Ariados;70;90;70;60;70;40;400
169;;Crobat;85;90;80;70;80;130;535
170;;Chinchou;75;38;38;56;56;67;330
171;;Lanturn;125;58;58;76;76;67;460
172;;Pichu;20;40;15;35;35;60;205
173;;Cleffa;50;25;28;45;55;15;218
174;;Igglybuff;90;30;15;40;20;15;210
175;;Togepi;35;20;65;40;65;20;245
176;;Togetic;55;40;85;80;105;40;405
177;;Natu;40;50;45;70;45;70;320
178;;Xatu;65;75;70;95;70;95;470
179;;Mareep;55;40;40;65;45;35;280
180;;Flaaffy;70;55;55;80;60;45;365
181;;Ampharos;90;75;85;115;90;55;510
181;;"Ampharos
Mega Ampharos";90;95;105;165;110;45;610
182;;Bellossom;75;80;95;90;100;50;490
183;;Marill;70;20;50;20;50;40;250
184;;Azumarill;100;50;80;60;80;50;420
185;;Sudowoodo;70;100;115;30;65;30;410
186;;Politoed;90;75;75;90;100;70;500
187;;Hoppip;35;35;40;35;55;50;250
188;;Skiploom;55;45;50;45;65;80;340
189;;Jumpluff;75;55;70;55;95;110;460
190;;Aipom;55;70;55;40;55;85;360
191;;Sunkern;30;30;30;30;30;30;180
192;;Sunflora;75;75;55;105;85;30;425
193;;Yanma;65;65;45;75;45;95;390
194;;Wooper;55;45;45;25;25;15;210
194;;"Wooper
Paldean Wooper";55;45;45;25;25;15;210
195;;Quagsire;95;85;85;65;65;35;430
196;;Espeon;65;65;60;130;95;110;525
197;;Umbreon;95;65;110;60;130;65;525
198;;Murkrow;60;85;42;85;42;91;405
199;;Slowking;95;75;80;100;110;30;490
199;;"Slowking
Galarian Slowking";95;65;80;110;110;30;490
200;;Misdreavus;60;60;60;85;85;85;435
201;;Unown;48;72;48;72;48;48;336
202;;Wobbuffet;190;33;58;33;58;33;405
203;;Girafarig;70;80;65;90;65;85;455
204;;Pineco;50;65;90;35;35;15;290
205;;Forretress;75;90;140;60;60;40;465
206;;Dunsparce;100;70;70;65;65;45;415
207;;Gligar;65;75;105;35;65;85;430
208;;Steelix;75;85;200;55;65;30;510
208;;"Steelix
Mega Steelix";75;125;230;55;95;30;610
209;;Snubbull;60;80;50;40;40;30;300
210;;Granbull;90;120;75;60;60;45;450
211;;Qwilfish;65;95;85;55;55;85;440
211;;"Qwilfish
Hisuian Qwilfish";65;95;85;55;55;85;440
212;;Scizor;70;130;100;55;80;65;500
212;;"Scizor
Mega Scizor";70;150;140;65;100;75;600
213;;Shuckle;20;10;230;10;230;5;505
214;;Heracross;80;125;75;40;95;85;500
214;;"Heracross
Mega Heracross";80;185;115;40;105;75;600
215;;Sneasel;55;95;55;35;75;115;430
215;;"Sneasel
Hisuian Sneasel";55;95;55;35;75;115;430
216;;Teddiursa;60;80;50;50;50;40;330
217;;Ursaring;90;130;75;75;75;55;500
218;;Slugma;40;40;40;70;40;20;250
219;;Magcargo;60;50;120;90;80;30;430
220;;Swinub;50;50;40;30;30;50;250
221;;Piloswine;100;100;80;60;60;50;450
222;;Corsola;65;55;95;65;95;35;410
222;;"Corsola
Galarian Corsola";60;55;100;65;100;30;410
223;;Remoraid;35;65;35;65;35;65;300
224;;Octillery;75;105;75;105;75;45;480
225;;Delibird;45;55;45;65;45;75;330
226;;Mantine;85;40;70;80;140;70;485
227;;Skarmory;65;80;140;40;70;70;465
228;;Houndour;45;60;30;80;50;65;330
229;;Houndoom;75;90;50;110;80;95;500
229;;"Houndoom
Mega Houndoom";75;90;90;140;90;115;600
230;;Kingdra;75;95;95;95;95;85;540
231;;Phanpy;90;60;60;40;40;40;330
232;;Donphan;90;120;120;60;60;50;500
233;;Porygon2;85;80;90;105;95;60;515
234;;Stantler;73;95;62;85;65;85;465
235;;Smeargle;55;20;35;20;45;75;250
236;;Tyrogue;35;35;35;35;35;35;210
237;;Hitmontop;50;95;95;35;110;70;455
238;;Smoochum;45;30;15;85;65;65;305
239;;Elekid;45;63;37;65;55;95;360
240;;Magby;45;75;37;70;55;83;365
241;;Miltank;95;80;105;40;70;100;490
242;;Blissey;255;10;10;75;135;55;540
243;;Raikou;90;85;75;115;100;115;580
244;;Entei;115;115;85;90;75;100;580
245;;Suicune;100;75;115;90;115;85;580
246;;Larvitar;50;64;50;45;50;41;300
247;;Pupitar;70;84;70;65;70;51;410
248;;Tyranitar;100;134;110;95;100;61;600
248;;"Tyranitar
Mega Tyranitar";100;164;150;95;120;71;700
249;;Lugia;106;90;130;90;154;110;680
250;;Ho-Oh;106;130;90;110;154;90;680
251;;Celebi;100;100;100;100;100;100;600
252;;Treecko;40;45;35;65;55;70;310
253;;Grovyle;50;65;45;85;65;95;405
254;;Sceptile;70;85;65;105;85;120;530
254;;"Sceptile
Mega Sceptile";70;110;75;145;85;145;630
255;;Torchic;45;60;40;70;50;45;310
256;;Combusken;60;85;60;85;60;55;405
257;;Blaziken;80;120;70;110;70;80;530
257;;"Blaziken
Mega Blaziken";80;160;80;130;80;100;630
258;;Mudkip;50;70;50;50;50;40;310
259;;Marshtomp;70;85;70;60;70;50;405
260;;Swampert;100;110;90;85;90;60;535
260;;"Swampert
Mega Swampert";100;150;110;95;110;70;635
261;;Poochyena;35;55;35;30;30;35;220
262;;Mightyena;70;90;70;60;60;70;420
263;;Zigzagoon;38;30;41;30;41;60;240
263;;"Zigzagoon
Galarian Zigzagoon";38;30;41;30;41;60;240
264;;Linoone;78;70;61;50;61;100;420
264;;"Linoone
Galarian Linoone";78;70;61;50;61;100;420
265;;Wurmple;45;45;35;20;30;20;195
266;;Silcoon;50;35;55;25;25;15;205
267;;Beautifly;60;70;50;100;50;65;395
268;;Cascoon;50;35;55;25;25;15;205
269;;Dustox;60;50;70;50;90;65;385
270;;Lotad;40;30;30;40;50;30;220
271;;Lombre;60;50;50;60;70;50;340
272;;Ludicolo;80;70;70;90;100;70;480
273;;Seedot;40;40;50;30;30;30;220
274;;Nuzleaf;70;70;40;60;40;60;340
275;;Shiftry;90;100;60;90;60;80;480
276;;Taillow;40;55;30;30;30;85;270
277;;Swellow;60;85;60;75;50;125;455
278;;Wingull;40;30;30;55;30;85;270
279;;Pelipper;60;50;100;95;70;65;440
280;;Ralts;28;25;25;45;35;40;198
281;;Kirlia;38;35;35;65;55;50;278
282;;Gardevoir;68;65;65;125;115;80;518
282;;"Gardevoir
Mega Gardevoir";68;85;65;165;135;100;618
283;;Surskit;40;30;32;50;52;65;269
284;;Masquerain;70;60;62;100;82;80;454
285;;Shroomish;60;40;60;40;60;35;295
286;;Breloom;60;130;80;60;60;70;460
287;;Slakoth;60;60;60;35;35;30;280
288;;Vigoroth;80;80;80;55;55;90;440
289;;Slaking;150;160;100;95;65;100;670
290;;Nincada;31;45;90;30;30;40;266
291;;Ninjask;61;90;45;50;50;160;456
292;;Shedinja;1;90;45;30;30;40;236
293;;Whismur;64;51;23;51;23;28;240
294;;Loudred;84;71;43;71;43;48;360
295;;Exploud;104;91;63;91;73;68;490
296;;Makuhita;72;60;30;20;30;25;237
297;;Hariyama;144;120;60;40;60;50;474
298;;Azurill;50;20;40;20;40;20;190
299;;Nosepass;30;45;135;45;90;30;375
300;;Skitty;50;45;45;35;35;50;260
301;;Delcatty;70;65;65;55;55;90;400
302;;Sableye;50;75;75;65;65;50;380
302;;"Sableye
Mega Sableye";50;85;125;85;115;20;480
303;;Mawile;50;85;85;55;55;50;380
303;;"Mawile
Mega Mawile";50;105;125;55;95;50;480
304;;Aron;50;70;100;40;40;30;330
305;;Lairon;60;90;140;50;50;40;430
306;;Aggron;70;110;180;60;60;50;530
306;;"Aggron
Mega Aggron";70;140;230;60;80;50;630
307;;Meditite;30;40;55;40;55;60;280
308;;Medicham;60;60;75;60;75;80;410
308;;"Medicham
Mega Medicham";60;100;85;80;85;100;510
309;;Electrike;40;45;40;65;40;65;295
310;;Manectric;70;75;60;105;60;105;475
310;;"Manectric
Mega Manectric";70;75;80;135;80;135;575
311;;Plusle;60;50;40;85;75;95;405
312;;Minun;60;40;50;75;85;95;405
313;;Volbeat;65;73;75;47;85;85;430
314;;Illumise;65;47;75;73;85;85;430
315;;Roselia;50;60;45;100;80;65;400
316;;Gulpin;70;43;53;43;53;40;302
317;;Swalot;100;73;83;73;83;55;467
318;;Carvanha;45;90;20;65;20;65;305
319;;Sharpedo;70;120;40;95;40;95;460
319;;"Sharpedo
Mega Sharpedo";70;140;70;110;65;105;560
320;;Wailmer;130;70;35;70;35;60;400
321;;Wailord;170;90;45;90;45;60;500
322;;Numel;60;60;40;65;45;35;305
323;;Camerupt;70;100;70;105;75;40;460
323;;"Camerupt
Mega Camerupt";70;120;100;145;105;20;560
324;;Torkoal;70;85;140;85;70;20;470
325;;Spoink;60;25;35;70;80;60;330
326;;Grumpig;80;45;65;90;110;80;470
327;;Spinda;60;60;60;60;60;60;360
328;;Trapinch;45;100;45;45;45;10;290
329;;Vibrava;50;70;50;50;50;70;340
330;;Flygon;80;100;80;80;80;100;520
331;;Cacnea;50;85;40;85;40;35;335
332;;Cacturne;70;115;60;115;60;55;475
333;;Swablu;45;40;60;40;75;50;310
334;;Altaria;75;70;90;70;105;80;490
334;;"Altaria
Mega Altaria";75;110;110;110;105;80;590
335;;Zangoose;73;115;60;60;60;90;458
336;;Seviper;73;100;60;100;60;65;458
337;;Lunatone;90;55;65;95;85;70;460
338;;Solrock;90;95;85;55;65;70;460
339;;Barboach;50;48;43;46;41;60;288
340;;Whiscash;110;78;73;76;71;60;468
341;;Corphish;43;80;65;50;35;35;308
342;;Crawdaunt;63;120;85;90;55;55;468
343;;Baltoy;40;40;55;40;70;55;300
344;;Claydol;60;70;105;70;120;75;500
345;;Lileep;66;41;77;61;87;23;355
346;;Cradily;86;81;97;81;107;43;495
347;;Anorith;45;95;50;40;50;75;355
348;;Armaldo;75;125;100;70;80;45;495
349;;Feebas;20;15;20;10;55;80;200
350;;Milotic;95;60;79;100;125;81;540
351;;Castform;70;70;70;70;70;70;420
352;;Kecleon;60;90;70;60;120;40;440
353;;Shuppet;44;75;35;63;33;45;295
354;;Banette;64;115;65;83;63;65;455
354;;"Banette
Mega Banette";64;165;75;93;83;75;555
355;;Duskull;20;40;90;30;90;25;295
356;;Dusclops;40;70;130;60;130;25;455
357;;Tropius;99;68;83;72;87;51;460
358;;Chimecho;75;50;80;95;90;65;455
359;;Absol;65;130;60;75;60;75;465
359;;"Absol
Mega Absol";65;150;60;115;60;115;565
360;;Wynaut;95;23;48;23;48;23;260
361;;Snorunt;50;50;50;50;50;50;300
362;;Glalie;80;80;80;80;80;80;480
362;;"Glalie
Mega Glalie";80;120;80;120;80;100;580
363;;Spheal;70;40;50;55;50;25;290
364;;Sealeo;90;60;70;75;70;45;410
365;;Walrein;110;80;90;95;90;65;530
366;;Clamperl;35;64;85;74;55;32;345
367;;Huntail;55;104;105;94;75;52;485
368;;Gorebyss;55;84;105;114;75;52;485
369;;Relicanth;100;90;130;45;65;55;485
370;;Luvdisc;43;30;55;40;65;97;330
371;;Bagon;45;75;60;40;30;50;300
372;;Shelgon;65;95;100;60;50;50;420
373;;Salamence;95;135;80;110;80;100;600
373;;"Salamence
Mega Salamence";95;145;130;120;90;120;700
374;;Beldum;40;55;80;35;60;30;300
375;;Metang;60;75;100;55;80;50;420
376;;Metagross;80;135;130;95;90;70;600
376;;"Metagross
Mega Metagross";80;145;150;105;110;110;700
377;;Regirock;80;100;200;50;100;50;580
378;;Regice;80;50;100;100;200;50;580
379;;Registeel;80;75;150;75;150;50;580
380;;Latias;80;80;90;110;130;110;600
380;;"Latias
Mega Latias";80;100;120;140;150;110;700
381;;Latios;80;90;80;130;110;110;600
381;;"Latios
Mega Latios";80;130;100;160;120;110;700
382;;Kyogre;100;100;90;150;140;90;670
382;;"Kyogre
Primal Kyogre";100;150;90;180;160;90;770
383;;Groudon;100;150;140;100;90;90;670
383;;"Groudon
Primal Groudon";100;180;160;150;90;90;770
384;;Rayquaza;105;150;90;150;90;95;680
384;;"Rayquaza
Mega Rayquaza";105;180;100;180;100;115;780
385;;Jirachi;100;100;100;100;100;100;600
386;;"Deoxys
Normal Forme";50;150;50;150;50;150;600
386;;"Deoxys
Attack Forme";50;180;20;180;20;150;600
386;;"Deoxys
Defense Forme";50;70;160;70;160;90;600
386;;"Deoxys
Speed Forme";50;95;90;95;90;180;600
387;;Turtwig;55;68;64;45;55;31;318
388;;Grotle;75;89;85;55;65;36;405
389;;Torterra;95;109;105;75;85;56;525
390;;Chimchar;44;58;44;58;44;61;309
391;;Monferno;64;78;52;78;52;81;405
392;;Infernape;76;104;71;104;71;108;534
393;;Piplup;53;51;53;61;56;40;314
394;;Prinplup;64;66;68;81;76;50;405
395;;Empoleon;84;86;88;111;101;60;530
396;;Starly;40;55;30;30;30;60;245
397;;Staravia;55;75;50;40;40;80;340
398;;Staraptor;85;120;70;50;60;100;485
399;;Bidoof;59;45;40;35;40;31;250
400;;Bibarel;79;85;60;55;60;71;410
401;;Kricketot;37;25;41;25;41;25;194
402;;Kricketune;77;85;51;55;51;65;384
403;;Shinx;45;65;34;40;34;45;263
404;;Luxio;60;85;49;60;49;60;363
405;;Luxray;80;120;79;95;79;70;523
406;;Budew;40;30;35;50;70;55;280
407;;Roserade;60;70;65;125;105;90;515
408;;Cranidos;67;125;40;30;30;58;350
409;;Rampardos;97;165;60;65;50;58;495
410;;Shieldon;30;42;118;42;88;30;350
411;;Bastiodon;60;52;168;47;138;30;495
412;;Burmy;40;29;45;29;45;36;224
413;;"Wormadam
Plant Cloak";60;59;85;79;105;36;424
413;;"Wormadam
Sandy Cloak";60;79;105;59;85;36;424
413;;"Wormadam
Trash Cloak";60;69;95;69;95;36;424
414;;Mothim;70;94;50;94;50;66;424
415;;Combee;30;30;42;30;42;70;244
416;;Vespiquen;70;80;102;80;102;40;474
417;;Pachirisu;60;45;70;45;90;95;405
418;;Buizel;55;65;35;60;30;85;330
419;;Floatzel;85;105;55;85;50;115;495
420;;Cherubi;45;35;45;62;53;35;275
421;;Cherrim;70;60;70;87;78;85;450
422;;Shellos;76;48;48;57;62;34;325
423;;Gastrodon;111;83;68;92;82;39;475
424;;Ambipom;75;100;66;60;66;115;482
425;;Drifloon;90;50;34;60;44;70;348
426;;Drifblim;150;80;44;90;54;80;498
427;;Buneary;55;66;44;44;56;85;350
428;;Lopunny;65;76;84;54;96;105;480
428;;"Lopunny
Mega Lopunny";65;136;94;54;96;135;580
429;;Mismagius;60;60;60;105;105;105;495
430;;Honchkrow;100;125;52;105;52;71;505
431;;Glameow;49;55;42;42;37;85;310
432;;Purugly;71;82;64;64;59;112;452
433;;Chingling;45;30;50;65;50;45;285
434;;Stunky;63;63;47;41;41;74;329
435;;Skuntank;103;93;67;71;61;84;479
436;;Bronzor;57;24;86;24;86;23;300
437;;Bronzong;67;89;116;79;116;33;500
438;;Bonsly;50;80;95;10;45;10;290
439;;Mime Jr.;20;25;45;70;90;60;310
440;;Happiny;100;5;5;15;65;30;220
441;;Chatot;76;65;45;92;42;91;411
442;;Spiritomb;50;92;108;92;108;35;485
443;;Gible;58;70;45;40;45;42;300
444;;Gabite;68;90;65;50;55;82;410
445;;Garchomp;108;130;95;80;85;102;600
445;;"Garchomp
Mega Garchomp";108;170;115;120;95;92;700
446;;Munchlax;135;85;40;40;85;5;390
447;;Riolu;40;70;40;35;40;60;285
448;;Lucario;70;110;70;115;70;90;525
448;;"Lucario
Mega Lucario";70;145;88;140;70;112;625
449;;Hippopotas;68;72;78;38;42;32;330
450;;Hippowdon;108;112;118;68;72;47;525
451;;Skorupi;40;50;90;30;55;65;330
452;;Drapion;70;90;110;60;75;95;500
453;;Croagunk;48;61;40;61;40;50;300
454;;Toxicroak;83;106;65;86;65;85;490
455;;Carnivine;74;100;72;90;72;46;454
456;;Finneon;49;49;56;49;61;66;330
457;;Lumineon;69;69;76;69;86;91;460
458;;Mantyke;45;20;50;60;120;50;345
459;;Snover;60;62;50;62;60;40;334
460;;Abomasnow;90;92;75;92;85;60;494
460;;"Abomasnow
Mega Abomasnow";90;132;105;132;105;30;594
461;;Weavile;70;120;65;45;85;125;510
462;;Magnezone;70;70;115;130;90;60;535
463;;Lickilicky;110;85;95;80;95;50;515
464;;Rhyperior;115;140;130;55;55;40;535
465;;Tangrowth;100;100;125;110;50;50;535
466;;Electivire;75;123;67;95;85;95;540
467;;Magmortar;75;95;67;125;95;83;540
468;;Togekiss;85;50;95;120;115;80;545
469;;Yanmega;86;76;86;116;56;95;515
